Short description,Description,Caller,Assignment group
duplication of network address.,"received from: kxsceyzo.naokumlb@gmail.com

gentles,

i have two devices that are trying to share an ip address. they are trying to share 96.26.27.9619. one is a printer with the hostname of prtjc0074, and the other is a new display for erp. the display is using dhcp to get its address assigned and the printer is hard coded.

my guess is that the address 96.26.27.9619 did not get set to a static address in dhcp. i need this corrected so the display will pick up another address.",kxsceyzo naokumlb,GRP_4
its password reset,its password reset,fsqwkbez eudsantq,GRP_0
unable to install flash player,unable to install flash player,xzbhmfpg bhqxesym,GRP_0
ticket_no1564677-employment status - new non-employee,ticket_no1564677-employment status - new non-employee,eqzibjhw ymebpoih,GRP_0
erp SID_34 account unlock and password reset,erp SID_34 account unlock and password reset,ztlvkmyi xldyitwz,GRP_0
unable to resolve ticket_no assigned to self,the status button is dierppearing after a few seconds.,shloyakw jztsxdln,GRP_0
installing engineering tool,need to install engineering tool on the pc,qcxivzag vyucbagx,GRP_0
call for ecwtrjnq jpecxuty,call for ecwtrjnq jpecxuty,olckhmvx pcqobjnd,GRP_0
ticket update - inplant_874615,ticket update - inplant_874615,olckhmvx pcqobjnd,GRP_0
tablet 7350-sound not working,tablet 7350-sound not working,eqxakzyi cwfrjitq,GRP_0
unable to login to system,unable to login to system,zcaeryfo tdovhslb,GRP_0
please reroute jobs on printer01 to printer02 - issue needs to be resolved today,"received from: yisohglr.uvteflgb@gmail.com

hi -

the printer01 printer is not working and needs a part replaced.  can you reroute the jobs in queue to printer printer02?   wihuyjdo qpogfwkb has indicated that prqos001 needs a new part and it may not deliver for a few days so the inwarehouse_tools will need to print on printer02 for now.  this needs to be taken care of today since the inwarehouse_tools are printed and are picked up by an outside vendor at 2:30 pm in usa on a daily basis.   please contact dkmcfreg anwmfvlgenkataramdntyana if you have questions about the jobs in queue for today.",yisohglr uvteflgb,GRP_5
unable to login to hr_tool etime,unable to login to hr_tool etime,wxdrynag hlktazfm,GRP_0
can not log into hr_tool etime through single sign on portal,can not log into hr_tool etime through single sign on portal,wpdxlbhz etvzjmhx,GRP_0
password changed in password_management_tool but didnt update for erp account,password changed in password_management_tool but didnt update for erp account,lduqxywt wcydjgvl,GRP_0
job Job_1424 failed in job_scheduler at: 10/31/2016 09:06:00,"received from: monitoring_tool@company.com

job Job_1424 failed in job_scheduler at: 10/31/2016 09:06:00",bpctwhsn kzqsbmtp,GRP_6
windows password change via password_management_tool,windows password change via password_management_tool,boyqfsca yoqrmnep,GRP_0
status does not change on telephony_software,"when closing a call, the agent keeps on the ""on acd call"" status.",aofnvyzt eqiyskhm,GRP_7
job mm_zscr0099_dly_merktc3 failed in job_scheduler at: 10/31/2016 08:36:00,"received from: monitoring_tool@company.com

job mm_zscr0099_dly_merktc3 failed in job_scheduler at: 10/31/2016 08:36:00",bpctwhsn kzqsbmtp,GRP_8
call for ecwtrjnq jpecxuty,call for ecwtrjnq jpecxuty,olckhmvx pcqobjnd,GRP_0
vip 2 - i need my password_management_tool password manager password reset.,i need my password_management_tool password manager password reset.,jwhmqnye xlpvdwre,GRP_0
reset scm_software password,"received from: cdbaoqts.wqbsodni@gmail.com

hello,

please reset my scm_software password.


cdbaoqts wqbsodni
global product manager, markhtyeting initiatives
cdbaoqts.wqbsodni@gmail.com<mailto:cdbaoqts.wqbsodni@gmail.com>",cdbaoqts wqbsodni,GRP_0
account locked out while in office,"account kept locking out
possible reasons

companysecure or mobile device email setup has an incorrect password stored.
windows and network passwords do not match.",kyzhcsrq fwyltvpd,GRP_0
skype meeting,"received from: dlougnqw.jiuybxew@gmail.com

good morning,

i had to reset my password again and i've lost my option for setting up a skype meeting again.  can you please help me?  i can't recall how you were able to bring it back the last time.",dlougnqw jiuybxew,GRP_0
enquiry on impact rewards,enquiry on impact rewards- how to get password reset,kpudhygb vnizrdeb,GRP_0
need dn for material 3346599/ plant plant_197/ 5019253000     1 pcs  thanks,need dn for material 3346599/ plant plant_197/ 5019253000     1 pcs,wckrxovs aunsgzmd,GRP_6
unlock logon password,"received from: cnhkypxw.lafncksi@gmail.com

hello,
please help to unlock my company net log on password. urgent.",cnhkypxw lafncksi,GRP_0
job mm_zscr0099_dly_merktc2 failed in job_scheduler at: 10/31/2016 05:19:00,"received from: monitoring_tool@company.com

job mm_zscr0099_dly_merktc2 failed in job_scheduler at: 10/31/2016 05:19:00",bpctwhsn kzqsbmtp,GRP_8
job Job_3181 failed in job_scheduler at: 10/31/2016 05:00:00,"received from: monitoring_tool@company.com

job Job_3181 failed in job_scheduler at: 10/31/2016 05:00:00",bpctwhsn kzqsbmtp,GRP_8
password changed required for user- abc,password changed required for user- abc,qslrdpwk mdkivacj,GRP_0
issues with outlook,"received from: lkfzibrx.ljnabpgx@gmail.com

[cid:image001.png@01d23357.fcbe58b0]

best",lkfzibrx ljnabpgx,GRP_0
urgent - create dlv,"please help , i try to create dlv for this mm's
7393673 sto 5019411580/00001
7393617 sto 5019329184/00002

sto from plant_289 to plant_101",qfnthlam lxvnwuja,GRP_6
apac company : two switches are down since 3.45 am et on 10/31.,"apac company : two switches are down since 3.45 am et on 10/31.

company-ap-chn-apac-company-2960-access-sw04 
company-ap-chn-apac-company-2960-access-sw03.",utyeofsk rdyzpwhi,GRP_8
error login on to the SID_34 system.,"error login on to the SID_34 system.
-verified user details.(employee# & manager name)
-user has tried the password_management_tool pwd manager.
-unlocked the erp id.
-caller confirmed that he was able to login.
-issue resolved.",quxtnlgd tqnjyzsm,GRP_0
delivery note can't do post goods issue,"d/n #9169754657&8058643570
plant:plant_304 to plant_310
the issue display:
ekpo-sobkz=e; ekpo-umsok=_; ekpo-kzbws<>_ ekpo-kzvbr<>e (note 305582) not supported (check your entry)",lyzqrctk cfotnzrx,GRP_0
job Job_1338 failed in job_scheduler at: 10/31/2016 02:29:00,"received from: monitoring_tool@company.com

job Job_1338 failed in job_scheduler at: 10/31/2016 02:29:00",bpctwhsn kzqsbmtp,GRP_9
job Job_1854 failed in job_scheduler at: 10/31/2016 01:36:00,"received from: monitoring_tool@company.com

job Job_1854 failed in job_scheduler at: 10/31/2016 01:36:00",bpctwhsn kzqsbmtp,GRP_8
job Job_2588 failed in job_scheduler at: 10/31/2016 01:30:00,"received from: monitoring_tool@company.com

job Job_2588 failed in job_scheduler at: 10/31/2016 01:30:00",bpctwhsn kzqsbmtp,GRP_8
job Job_2599 failed in job_scheduler at: 10/31/2016 01:30:00,"received from: monitoring_tool@company.com

job Job_2599 failed in job_scheduler at: 10/31/2016 01:30:00",bpctwhsn kzqsbmtp,GRP_8
user locked- user :xyz,"received from: przndfbo.pldqbhtn@gmail.com

it team,

please kindly  release locked computer for user : xyz
user name : fbmugzrl ahyiuqev",przndfbo pldqbhtn,GRP_0
dell 7350: my laptop speakers is not working again and requires your urgent help.,my laptop speakers is not working again and requires your urgent help.,jgautdmk fpurxzew,GRP_0
user needs help to connect to the wireless connection at home.,"user needs help to connect to the wireless connection at home.
-had the user connect to the lan at home.
-connected to the user system using teamviewer.
-checked the network settings.
-help the user login to the home wireless.
-disconnected the home lan.
-user confirmed that he is able to login to the home wireless.
-issue resolved.",imoelsap gxdwkimv,GRP_0
inc1564062: ticket update,inc1564062: ticket update,pwkrlqbc zslqfmka,GRP_0
job hr_payroll_na_u1 failed in job_scheduler at: 10/30/2016 23:00:00,"received from: monitoring_tool@company.com

job hr_payroll_na_u1 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10
job hr_payroll_na_u2 failed in job_scheduler at: 10/30/2016 23:00:00,"received from: monitoring_tool@company.com

job hr_payroll_na_u2 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10
job hr_payroll_na_u6 failed in job_scheduler at: 10/30/2016 23:00:00,"received from: monitoring_tool@company.com

job hr_payroll_na_u6 failed in job_scheduler at: 10/30/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10
"power outage:UK al, 1st and 5th ave sites hard down since at 4:31 pm et on 10/30.","what type of outage:  _____network     _____circuit     ___x__power (please specify what type of outage)

1. top 23 cert site   ?    ___yes______     (yes/no/na) 

2. when did it start  ?   ________4:31 pm et on 10/30. _____________

3.  scheduled maintenance ( power) ? __yno_____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ____na_______   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  ___na____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    ____global_telecom_1#000000223670658 _____________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",mnlazfsr mtqrkhnx,GRP_8
"power outage : germany, mx: site is hard down since 10/30/2016 10:09 am et","what type of outage:  ___x__network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___no______     (yes/no/na) 

2. when did it start  ?   _______10/30/2016 10:09 am et______________

3.  scheduled maintenance ( power) ? _____no__    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ____no___    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ____no__    (yes/no/na) 

6. backup circuit active ?   ____no____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",jyoqwxhz clhxsoqy,GRP_8
job Job_1424 failed in job_scheduler at: 10/30/2016 10:35:00,"received from: monitoring_tool@company.com

job Job_1424 failed in job_scheduler at: 10/30/2016 10:35:00",bpctwhsn kzqsbmtp,GRP_6
erp SID_34 account locked,erp SID_34 account locked,ilvortuq zfgrlewm,GRP_0
user yhmwxsqj ugnthxky having issues logging to outlook.,"user yhmwxsqj ugnthxky having issues logging to outlook. 

rgtry will be available tomorrow around 9.00 am, he works out of company campus. request you to reach out to him & fix the issue.",rdfjsawg zpmxgdcw,GRP_0
job bwhrattr failed in job_scheduler at: 10/30/2016 02:20:00,"received from: monitoring_tool@company.com

job bwhrattr failed in job_scheduler at: 10/30/2016 02:20:00",bpctwhsn kzqsbmtp,GRP_9
engineering tool drawing originals in pdf format are not shown,"hello it service,
i need to monitor the manufacturing drawings to approve manufacturing.
the engineering tool stopped showing pdf originals:

process: 


[[erp] /production_order_interface_vendor/bas_cr 167 - rfc destination production_order_interface_vendor-views-010 not accessible (file cannot be stamped now; ).]
  08:06:34  
    bapireturnederrorexception
    [stack trace]
    cadagent.erp.conn.jco.tm.jcoerpmanager.handlereturnstructureorreturntableline(jcoerpmanager.java:379, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.erp.conn.jco.tm.jcoerpmanager.handlereturnstructure(jcoerpmanager.java:360, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.erp.conn.jco.tm.jcoerpmanager.generirtcfunction(jcoerpmanager.java:324, @(#) $id: jcoerpmanager.java 60470 2015-07-24 09:02:22z wt $)
    cadagent.objmod.plmfile.checkoutview(plmfile.java:1109, @(#) $id: plmfile.java 182 2016-02-18 19:00:08z aju $)
    plm.omf.omforiginalsexport.checkoutbapi(omforiginalsexport.java:337, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    plm.omf.omforiginalsexport.downloaddocumentoriginals(omforiginalsexport.java:226, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    plm.omf.omforiginalsexport.actionperformed(omforiginalsexport.java:147, @(#) $id: omforiginalsexport.java 54279 2014-51.08.85.1636:24z rb $)
    cadagent.gui.obr.obrfunctioneventqueue.run(obrfunctioneventqueue.java:209, @(#) $id: obrfunctioneventqueue.java 51962 2014-07-16 11:28:24z bda $)

      [api] bapi_document_checkoutview2





is this a known problem? when it will be fixed?",vlymsnej whlqxcst,GRP_11
job apo_bop_plant_283a failed in job_scheduler at: 10/30/2016 01:25:00,"received from: monitoring_tool@company.com

job apo_bop_plant_283a failed in job_scheduler at: 10/30/2016 01:25:00",bpctwhsn kzqsbmtp,GRP_6
job Job_1315 failed in job_scheduler at: 10/30/2016 00:48:00,"received from: monitoring_tool@company.com

job Job_1315 failed in job_scheduler at: 10/30/2016 00:48:00",bpctwhsn kzqsbmtp,GRP_9
job mm_zscr0099_wkly_rollfgyuej1 failed in job_scheduler at: 10/30/2016 00:11:00,"received from: monitoring_tool@company.com

job mm_zscr0099_wkly_rollfgyuej1 failed in job_scheduler at: 10/30/2016 00:11:00",bpctwhsn kzqsbmtp,GRP_8
unable to open ie,unable to open ie,tmopbken ibzougsd,GRP_0
job Job_3050 failed in job_scheduler at: 10/29/2016 23:02:00,"received from: monitoring_tool@company.com

job Job_3050 failed in job_scheduler at: 10/29/2016 23:02:00",bpctwhsn kzqsbmtp,GRP_8
job SID_30cold failed in job_scheduler at: 10/29/2016 18:58:00,"received from: monitoring_tool@company.com

job SID_30cold failed in job_scheduler at: 10/29/2016 18:58:00",bpctwhsn kzqsbmtp,GRP_5
job SID_35cold failed in job_scheduler at: 10/29/2016 18:47:00,"received from: monitoring_tool@company.com

job SID_35cold failed in job_scheduler at: 10/29/2016 18:47:00",bpctwhsn kzqsbmtp,GRP_5
job Job_436 failed in job_scheduler at: 10/29/2016 18:29:00,"received from: monitoring_tool@company.com

job Job_436 failed in job_scheduler at: 10/29/2016 18:29:00",bpctwhsn kzqsbmtp,GRP_5
job SID_29cold failed in job_scheduler at: 10/29/2016 18:11:00,"received from: monitoring_tool@company.com

job SID_29cold failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,GRP_5
job Job_717 failed in job_scheduler at: 10/29/2016 18:11:00,"received from: monitoring_tool@company.com

job Job_717 failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,GRP_5
job SID_26cold failed in job_scheduler at: 10/29/2016 18:11:00,"received from: monitoring_tool@company.com

job SID_26cold failed in job_scheduler at: 10/29/2016 18:11:00",bpctwhsn kzqsbmtp,GRP_5
job SID_35cold failed in job_scheduler at: 10/29/2016 18:09:00,"received from: monitoring_tool@company.com

job SID_35cold failed in job_scheduler at: 10/29/2016 18:09:00",bpctwhsn kzqsbmtp,GRP_5
amssm00345: c:\ label:sys-amssm00345 94ef9088 on server: is over  85% space consumed. space available: 2.7 g,amssm00345: c:\ label:sys-amssm00345 94ef9088 on server: is over  85% space consumed. space available: 2.7 g,jyoqwxhz clhxsoqy,GRP_12
unable to view payslips from hr_tool e time,unable to view payslips from hr_tool e time,vzrbocfl wxtpoyez,GRP_0
password expiry tomorrow,"received from: ecprjbod.litmjwsy@gmail.com

my system says my password expires tomorrow.  but when i want to change to a new password, it does not allow.  the new password is not accepting….it says server does not authorize.  kindly check and do the needful as the password is expiring tomorrow.",ecprjbod litmjwsy,GRP_0
re: ess portal access issue,"received from: noscwdpm.akiowsmp@gmail.com

hello,

he is an kiosk user.  please reset the password and confirm.


noscwdpm akiowsmp
noscwdpm.akiowsmp@gmail.com

from: ihkolepb ozhnjyef
sent: 29 october 2016 13:38
to: company@ticketing_tool.com
subject: ess portal access issue

hi,

below mentioned employee krlszbqo spimolgz with user id sv123 is not able to login to ess portal to access his pay slips and related contents. he is a attendance_tool user. please reset his user id and password and revert back.",noscwdpm akiowsmp,GRP_0
ess portal access issue,"received from: ihkolepb.ozhnjyef@gmail.com

hi,

below mentioned employee krlszbqo spimolgz with user id sv123 is not able to login to ess portal to access his pay slips and related contents. he is a attendance_tool user. please reset his user id and password and revert back.",ihkolepb ozhnjyef,GRP_0
job Job_1390 failed in job_scheduler at: 10/29/2016 03:55:00,"received from: monitoring_tool@company.com

job Job_1390 failed in job_scheduler at: 10/29/2016 03:55:00",bpctwhsn kzqsbmtp,GRP_9
job Job_2002 failed in job_scheduler at: 10/29/2016 02:52:00,"received from: monitoring_tool@company.com

job Job_2002 failed in job_scheduler at: 10/29/2016 02:52:00",bpctwhsn kzqsbmtp,GRP_8
job Job_2002 failed in job_scheduler at: 10/29/2016 02:30:00,"received from: monitoring_tool@company.com

job Job_2002 failed in job_scheduler at: 10/29/2016 02:30:00",bpctwhsn kzqsbmtp,GRP_6
job Job_1319 failed in job_scheduler at: 10/29/2016 02:02:00,"received from: monitoring_tool@company.com

job Job_1319 failed in job_scheduler at: 10/29/2016 02:02:00",bpctwhsn kzqsbmtp,GRP_9
job Job_1382 failed in job_scheduler at: 10/29/2016 02:00:00,"received from: monitoring_tool@company.com

job Job_1382 failed in job_scheduler at: 10/29/2016 02:00:00",bpctwhsn kzqsbmtp,GRP_9
attendance_tool - system log on error,"received from: isfadulo.etkyjabn@gmail.com

hello

good morning,

i am experiencing issues with attendance_tool log on
every time i try to log on through ""single sign portal, the following screen gets displayed and it stays there.
appreciate your support to fix this issue


[cid:image011.jpg@01d231cb.2cceacf0]",isfadulo etkyjabn,GRP_0
excel freezing issue,excel freezing issue,jborwynt gidxbfrq,GRP_0
unable to sync a file in collaboration_platform,unable to sync a file in collaboration_platform,utdlmzyb dvfpraeg,GRP_0
unable to update password on the password_management_tool password manager,unable to update password on the password_management_tool password manager,eflahbxn ltdgrvkz,GRP_0
vitalyst transfer: reporting_tool access query,vitalyst transfer: reporting_tool access query,flhkxeqd gwidroap,GRP_0
job Job_2881 failed in job_scheduler at: 10/28/2016 18:06:00,"received from: monitoring_tool@company.com

job Job_2881 failed in job_scheduler at: 10/28/2016 18:06:00",bpctwhsn kzqsbmtp,GRP_13
user said he will callback,user said he will callback,fumkcsji sarmtlhy,GRP_0
unable update passwords on password_management_tool,unable update passwords on password_management_tool,xeakyiqt knhjogel,GRP_0
erp SID_34 erp production password reset // account is locked,erp SID_34 erp production password reset // account is locked,qmgspxkf mckfysdh,GRP_0
server issues,"received from: bgqpotek.cuxakvml@gmail.com

hello,

i have been trying to gain access to my pay roll information on the hub, specifically the hr_tool etime portal. the ""other"" information on the portal come up without problems, but the ""pay stub"" does not…it continuously shows the search ring.",bgqpotek cuxakvml,GRP_0
ticket update on ticket_no0454269,ticket update on ticket_no0454269,fumkcsji sarmtlhy,GRP_0
unable to display expense report,unable to display expense report,ncksqfmz fzcjunai,GRP_0
password reset for upitdmhz owupktcg cruzjc,password reset for upitdmhz owupktcg cruzjc,uazkjifp dhtnevcq,GRP_0
unable to login in benefits tab,unable to login in benefits tab,bsmjflrp bvslpafi,GRP_0
"hello, i'm having an issue with my outlook view.  can you call me and let me share my screen?","hello, i'm having an issue with my outlook view.  can you call me and let me share my screen?",ndaoxbvi szxlciue,GRP_0
unable to access mails,unable to access mails,cdfqvlzu jzmwuirn,GRP_0
unable to display expense report,unable to display expense report,rbozivdq gmlhrtvp,GRP_0
mobile device activation,"from: tvcdfqgp nrbcqwgj 
sent: friday, october 28, 2016 3:13 pm
to: nwfodmhc exurcwkm
subject:  se ha bloqueado en forma temporal la sincronización de su dispositivo móvil mediante exchange activesync hasta que su administrador autorice el acceso.

hi

i received this message and our local it expert has told me to open a ticket.",tvcdfqgp nrbcqwgj,GRP_0
internal keybankrd will not work after cs nor will an external usb keybankrd.,internal keybankrd will not work after cs nor will an external usb keybankrd.,hefiuwvo lcgadsef,GRP_3
blank call //gso,blank call //gso,rbozivdq gmlhrtvp,GRP_0
update on inplant_874269,update on inplant_874269,rbozivdq gmlhrtvp,GRP_0
password change thru password_management_tool password manager,"received from: jvpkulxw.ovuweygj@gmail.com

hello sir,

i tried to change my password thru above. i  got below error. pl help know what action to be taken further to ensure all passwords are same everywhere since belo wmsg says all passwords were not changed.

[cid:image001.jpg@01d2316b.5ff15980]",jvpkulxw ovuweygj,GRP_0
unlock personal number in ess,unlock personal number in ess,ltsqkane ycgwexdf,GRP_0
intermittent service on configair server in SID_34 requires probably a restart on production server,"intermittent service on configair server in SID_34 requires probably a restart on production server. 
the error occurs in production and shows ""500 internal serrver error. error: while trying to invoke the method java.util.list.iterator() of null object loaded from local variable 'local list'""
the issue can be reproduced in production e.g.:
a) company customer e.g.# 81510728 and base material mm3716934 (hss/pm finishing)
b) company customer e.g. .# 81510728 and starting from scratch. i can select a product platform e.g. hp hss/pm roughing, but the screen freezes.
c) log-on language different ""en"", e.g. ""de"". company customer e.g. 81124199; base material e.g. 5157483. 
we had this issues already several times before and it needed always a restart of the server. thryeu is a good contact person for this issue as he was already working on the root cause with our external vendor configair.",iavozegx jpcudyfi,GRP_14
unable to access vpn,unable to access vpn,vtnkwxhr tqxrglvh,GRP_0
unable to open outlook,unable to open outlook,kcagqjyv ojhulmes,GRP_0
install driver in printer hr14 in HostName_769,install driver in printer hr14 in HostName_769,bihypqsn kbaegpcd,GRP_0
unable to send emails from outbox,unable to send emails from outbox,dijxefrq nbgykjpr,GRP_0
access to business_client drawings,"name:xvgftyr tryfuh
language:
browser:microsoft internet explorer
email:cnkoflhi.abeoucfj@gmail.com
customer number:
summary:i cannot seem to access the drawings from the netweaver application that is installed on my computer.  it doesn't take me to the same page that my colleagues have.",rbozivdq gmlhrtvp,GRP_0
taking off email permissions from personal phone,"name:vdhfy
language:
browser:microsoft internet explorer
email:dcvphjru.ybomrjst@gmail.com
customer number:
summary:i have scrapped the old phone. my mail was configured in it. can you take off the permissions set to view mails on that phone",dcvphjru ybomrjst,GRP_0
job Job_1854 failed in job_scheduler at: 10/28/2016 11:06:00,"received from: monitoring_tool@company.com

job Job_1854 failed in job_scheduler at: 10/28/2016 11:06:00",bpctwhsn kzqsbmtp,GRP_8
job Job_1879 failed in job_scheduler at: 10/28/2016 11:01:00,"received from: monitoring_tool@company.com

job Job_1879 failed in job_scheduler at: 10/28/2016 11:01:00",bpctwhsn kzqsbmtp,GRP_8
unable to view payslips in ie,unable to view payslips in ie,bdgaxriq iltbozkw,GRP_0
prtgghj4k45 password reset,please reset hr_tool gv4536 password reset.,qcehailo wqynckxg,GRP_0
channel partner receiving multiple emails from erp--- urgent,"hi,
our channel partner with the email address djhadkudhd@gmail.com, received 50 emails regarding the pos error in a matheywter of 30 milliseconds.  he is very angry, this needs to be fixed aerp.  attached is a file extracted from erp documenting the 50 emails.",qcfmxgid jvxanwre,GRP_15
usa - (company) : interface fastethernet0/16 & gigabitethernet1/0/18 is down since  09:23 pm et on 09/28.,usa - (company) : interface fastethernet0/16 & gigabitethernet1/0/18 is down since  09:23 pm et on 09/28.,jyoqwxhz clhxsoqy,GRP_8
password reset,"received from: qtrmxlgv.dfruzvam@gmail.com

good morning,

i have forgotten my password for erp SID_1.  i have made 3 attempts and failed.  could you please reset.  my user id is dgrtrkjs123.",qtrmxlgv dfruzvam,GRP_0
ess login issue,"ess login issue
-verified user details.(employee# & manager name)
-checked the user name in ad and reset the password.
-advised the user to login and check.
-caller confirmed that he was able to login.
-issue resolved.",ukzfqjet zcbhpweo,GRP_0
unable to start dell 7350 2 in 1 device,qifzkoej etbmgjvo is unable to start his dell 7350 2 in 1 tablet device.,qifzkoej etbmgjvo,GRP_0
erp_print_tool install.,erp_print_tool install.,aorthyme rnsuipbk,GRP_0
good morning. i am having trouble getting into my vpn,"name:wvngzrca sfmrzdth
language:
browser:microsoft internet explorer
email:wvngzrca.sfmrzdth@gmail.com
customer number:
summary:good morning. i am having trouble getting into my vpn
can you assist",wvngzrca sfmrzdth,GRP_0
install acrobat standard,install acrobat standard,iefgkray zdyksvpw,GRP_0
password reset from ad,password reset from ad,rbozivdq gmlhrtvp,GRP_0
